Notes,State,State Code,Five-Year Age Groups,Five-Year Age Groups Code,Ethnicity,Gender,Gender Code,Year,Year Code,Deaths,Population,Crude Rate
,Alabama,1,55-59 years,55-59,Asian or PI,Male,M,2006,2006,Suppressed,971,Suppressed
,Alabama,1,55-59 years,55-59,Asian or PI,Male,M,2007,2007,Suppressed,964,Suppressed
,Alabama,1,55-59 years,55-59,Asian or PI,Male,M,2008,2008,Suppressed,1015,Suppressed
,Alabama,1,55-59 years,55-59,Asian or PI,Male,M,2009,2009,Suppressed,1084,Suppressed
,Alabama,1,55-59 years,55-59,Asian or PI,Male,M,2010,2010,Suppressed,1160,Suppressed
,Alabama,1,55-59 years,55-59,Asian or PI,Male,M,2011,2011,Suppressed,1224,Suppressed
,Alabama,1,55-59 years,55-59,Asian or PI,Male,M,2012,2012,Suppressed,1343,Suppressed
,Alabama,1,55-59 years,55-59,Asian or PI,Male,M,2013,2013,Suppressed,1469,Suppressed
,Alabama,1,55-59 years,55-59,Asian or PI,Male,M,2014,2014,Suppressed,1554,Suppressed
,Alabama,1,55-59 years,55-59,Asian or PI,Male,M,2015,2015,Suppressed,1687,Suppressed
,Alabama,1,55-59 years,55-59,Asian or PI,Male,M,2016,2016,Suppressed,1765,Suppressed
,Alabama,1,55-59 years,55-59,Asian or PI,Male,M,2017,2017,Suppressed,1823,Suppressed
,Alabama,1,55-59 years,55-59,Asian or PI,Male,M,2018,2018,Suppressed,2020,Suppressed
,Alabama,1,60-64 years ,60-64,Asian or PI,Male,M,1999,1999,Suppressed,350,Suppressed
,Alabama,1,60-64 years ,60-64,Asian or PI,Male,M,2000,2000,Suppressed,403,Suppressed
,Alabama,1,60-64 years ,60-64,Asian or PI,Male,M,2001,2001,Suppressed,449,Suppressed
,Alabama,1,60-64 years ,60-64,Asian or PI,Male,M,2002,2002,Suppressed,490,Suppressed
,Alabama,1,60-64 years ,60-64,Asian or PI,Male,M,2003,2003,Suppressed,551,Suppressed
,Alabama,1,60-64 years ,60-64,Asian or PI,Male,M,2004,2004,Suppressed,594,Suppressed
,Alabama,1,60-64 years ,60-64,Asian or PI,Male,M,2005,2005,Suppressed,626,Suppressed
,Alabama,1,60-64 years ,60-64,Asian or PI,Male,M,2006,2006,Suppressed,684,Suppressed
,Alabama,1,60-64 years ,60-64,Asian or PI,Male,M,2007,2007,Suppressed,754,Suppressed
,Alabama,1,60-64 years ,60-64,Asian or PI,Male,M,2008,2008,Suppressed,769,Suppressed
,Alabama,1,60-64 years ,60-64,Asian or PI,Male,M,2009,2009,Suppressed,858,Suppressed
,Alabama,1,60-64 years ,60-64,Asian or PI,Male,M,2010,2010,Suppressed,901,Suppressed
,Alabama,1,60-64 years ,60-64,Asian or PI,Male,M,2011,2011,Suppressed,986,Suppressed
,Alabama,1,60-64 years ,60-64,Asian or PI,Male,M,2012,2012,Suppressed,997,Suppressed
,Alabama,1,60-64 years ,60-64,Asian or PI,Male,M,2013,2013,Suppressed,1069,Suppressed
,Alabama,1,60-64 years ,60-64,Asian or PI,Male,M,2014,2014,Suppressed,1126,Suppressed
,Alabama,1,60-64 years ,60-64,Asian or PI,Male,M,2015,2015,Suppressed,1209,Suppressed
,Alabama,1,60-64 years ,60-64,Asian or PI,Male,M,2016,2016,Suppressed,1306,Suppressed
,Alabama,1,60-64 years ,60-64,Asian or PI,Male,M,2017,2017,Suppressed,1423,Suppressed
,Alabama,1,60-64 years ,60-64,Asian or PI,Male,M,2018,2018,Suppressed,1437,Suppressed
,Alabama,1,65-69 years,65-69,Asian or PI,Male,M,1999,1999,Suppressed,191,Suppressed
,Alabama,1,65-69 years,65-69,Asian or PI,Male,M,2000,2000,Suppressed,243,Suppressed
,Alabama,1,65-69 years,65-69,Asian or PI,Male,M,2001,2001,Suppressed,278,Suppressed
,Alabama,1,65-69 years,65-69,Asian or PI,Male,M,2002,2002,Suppressed,319,Suppressed
,Alabama,1,65-69 years,65-69,Asian or PI,Male,M,2003,2003,Suppressed,354,Suppressed
,Alabama,1,65-69 years,65-69,Asian or PI,Male,M,2004,2004,Suppressed,386,Suppressed
,Alabama,1,65-69 years,65-69,Asian or PI,Male,M,2005,2005,Suppressed,446,Suppressed
,Alabama,1,65-69 years,65-69,Asian or PI,Male,M,2006,2006,Suppressed,476,Suppressed
,Alabama,1,65-69 years,65-69,Asian or PI,Male,M,2007,2007,Suppressed,534,Suppressed
,Alabama,1,65-69 years,65-69,Asian or PI,Male,M,2008,2008,Suppressed,614,Suppressed
,Alabama,1,65-69 years,65-69,Asian or PI,Male,M,2009,2009,Suppressed,663,Suppressed
,Alabama,1,65-69 years,65-69,Asian or PI,Male,M,2010,2010,Suppressed,649,Suppressed
,Alabama,1,65-69 years,65-69,Asian or PI,Male,M,2011,2011,Suppressed,678,Suppressed
,Alabama,1,65-69 years,65-69,Asian or PI,Male,M,2012,2012,Suppressed,763,Suppressed
,Alabama,1,65-69 years,65-69,Asian or PI,Male,M,2013,2013,Suppressed,807,Suppressed
,Alabama,1,65-69 years,65-69,Asian or PI,Male,M,2014,2014,Suppressed,851,Suppressed
,Alabama,1,65-69 years,65-69,Asian or PI,Male,M,2015,2015,Suppressed,936,Suppressed
,Alabama,1,65-69 years,65-69,Asian or PI,Male,M,2016,2016,Suppressed,962,Suppressed
,Alabama,1,65-69 years,65-69,Asian or PI,Male,M,2017,2017,Suppressed,980,Suppressed
,Alabama,1,65-69 years,65-69,Asian or PI,Male,M,2018,2018,Suppressed,1135,Suppressed
,Alabama,1,70-74 years,70-74,Asian or PI,Male,M,1999,1999,Suppressed,125,Suppressed
,Alabama,1,70-74 years,70-74,Asian or PI,Male,M,2000,2000,Suppressed,144,Suppressed
,Alabama,1,70-74 years,70-74,Asian or PI,Male,M,2001,2001,Suppressed,178,Suppressed
,Alabama,1,70-74 years,70-74,Asian or PI,Male,M,2002,2002,Suppressed,190,Suppressed
,Alabama,1,70-74 years,70-74,Asian or PI,Male,M,2003,2003,Suppressed,213,Suppressed
,Alabama,1,70-74 years,70-74,Asian or PI,Male,M,2004,2004,Suppressed,231,Suppressed
,Alabama,1,70-74 years,70-74,Asian or PI,Male,M,2005,2005,Suppressed,247,Suppressed
,Alabama,1,70-74 years,70-74,Asian or PI,Male,M,2006,2006,Suppressed,270,Suppressed
,Alabama,1,70-74 years,70-74,Asian or PI,Male,M,2007,2007,Suppressed,301,Suppressed
,Alabama,1,70-74 years,70-74,Asian or PI,Male,M,2008,2008,Suppressed,322,Suppressed
,Alabama,1,70-74 years,70-74,Asian or PI,Male,M,2009,2009,Suppressed,370,Suppressed
,Alabama,1,70-74 years,70-74,Asian or PI,Male,M,2010,2010,Suppressed,402,Suppressed
,Alabama,1,70-74 years,70-74,Asian or PI,Male,M,2011,2011,Suppressed,459,Suppressed
,Alabama,1,70-74 years,70-74,Asian or PI,Male,M,2012,2012,Suppressed,480,Suppressed
,Alabama,1,70-74 years,70-74,Asian or PI,Male,M,2013,2013,Suppressed,531,Suppressed
,Alabama,1,70-74 years,70-74,Asian or PI,Male,M,2014,2014,Suppressed,569,Suppressed
,Alabama,1,70-74 years,70-74,Asian or PI,Male,M,2015,2015,Suppressed,610,Suppressed
,Alabama,1,70-74 years,70-74,Asian or PI,Male,M,2016,2016,Suppressed,641,Suppressed
,Alabama,1,70-74 years,70-74,Asian or PI,Male,M,2017,2017,Suppressed,695,Suppressed
,Alabama,1,70-74 years,70-74,Asian or PI,Male,M,2018,2018,Suppressed,734,Suppressed
,Alabama,1,75-79 years,75-79,Asian or PI,Male,M,1999,1999,Suppressed,49,Suppressed
,Alabama,1,75-79 years,75-79,Asian or PI,Male,M,2000,2000,Suppressed,75,Suppressed
,Alabama,1,75-79 years,75-79,Asian or PI,Male,M,2001,2001,Suppressed,88,Suppressed
,Alabama,1,75-79 years,75-79,Asian or PI,Male,M,2002,2002,Suppressed,109,Suppressed
,Alabama,1,75-79 years,75-79,Asian or PI,Male,M,2003,2003,Suppressed,123,Suppressed
,Alabama,1,75-79 years,75-79,Asian or PI,Male,M,2004,2004,Suppressed,137,Suppressed
,Alabama,1,75-79 years,75-79,Asian or PI,Male,M,2005,2005,Suppressed,151,Suppressed
,Alabama,1,75-79 years,75-79,Asian or PI,Male,M,2006,2006,Suppressed,165,Suppressed
,Alabama,1,75-79 years,75-79,Asian or PI,Male,M,2007,2007,Suppressed,171,Suppressed
,Alabama,1,75-79 years,75-79,Asian or PI,Male,M,2008,2008,Suppressed,175,Suppressed
,Alabama,1,75-79 years,75-79,Asian or PI,Male,M,2009,2009,Suppressed,184,Suppressed
,Alabama,1,75-79 years,75-79,Asian or PI,Male,M,2010,2010,Suppressed,203,Suppressed
,Alabama,1,75-79 years,75-79,Asian or PI,Male,M,2011,2011,Suppressed,241,Suppressed
,Alabama,1,75-79 years,75-79,Asian or PI,Male,M,2012,2012,Suppressed,278,Suppressed
,Alabama,1,75-79 years,75-79,Asian or PI,Male,M,2013,2013,Suppressed,309,Suppressed
,Alabama,1,75-79 years,75-79,Asian or PI,Male,M,2014,2014,Suppressed,369,Suppressed
,Alabama,1,75-79 years,75-79,Asian or PI,Male,M,2015,2015,Suppressed,412,Suppressed
,Alabama,1,75-79 years,75-79,Asian or PI,Male,M,2016,2016,Suppressed,445,Suppressed
,Alabama,1,75-79 years,75-79,Asian or PI,Male,M,2017,2017,Suppressed,468,Suppressed
,Alabama,1,75-79 years,75-79,Asian or PI,Male,M,2018,2018,Suppressed,489,Suppressed
,Alabama,1,80-84 years,80-84,Asian or PI,Male,M,1999,1999,Suppressed,55,Suppressed
,Alabama,1,80-84 years,80-84,Asian or PI,Male,M,2000,2000,Suppressed,41,Suppressed
,Alabama,1,80-84 years,80-84,Asian or PI,Male,M,2001,2001,Suppressed,43,Suppressed
,Alabama,1,80-84 years,80-84,Asian or PI,Male,M,2002,2002,Suppressed,48,Suppressed
,Alabama,1,80-84 years,80-84,Asian or PI,Male,M,2003,2003,Suppressed,51,Suppressed
,Alabama,1,80-84 years,80-84,Asian or PI,Male,M,2004,2004,Suppressed,55,Suppressed
,Alabama,1,80-84 years,80-84,Asian or PI,Male,M,2005,2005,Suppressed,50,Suppressed
,Alabama,1,80-84 years,80-84,Asian or PI,Male,M,2006,2006,Suppressed,71,Suppressed
,Alabama,1,80-84 years,80-84,Asian or PI,Male,M,2007,2007,Suppressed,80,Suppressed
,Alabama,1,80-84 years,80-84,Asian or PI,Male,M,2008,2008,Suppressed,88,Suppressed
