Notes,State,State Code,Five-Year Age Groups,Five-Year Age Groups Code,Ethnicity,Gender,Gender Code,Year,Year Code,Deaths,Population,Crude Rate
,Arkansas,5,95-99 years,95-99,Hispanic,Male,M,2014,2014,Suppressed,Not Applicable,Not Applicable
,Arkansas,5,95-99 years,95-99,Hispanic,Male,M,2015,2015,Suppressed,Not Applicable,Not Applicable
,Arkansas,5,95-99 years,95-99,Hispanic,Male,M,2016,2016,Suppressed,Not Applicable,Not Applicable
,Arkansas,5,95-99 years,95-99,Hispanic,Male,M,2017,2017,Suppressed,Not Applicable,Not Applicable
,Arkansas,5,95-99 years,95-99,Hispanic,Male,M,2018,2018,Suppressed,Not Applicable,Not Applicable
Total,Arkansas,5,95-99 years,95-99,Hispanic,Male,M,,,Suppressed,Not Applicable,Not Applicable
Total,Arkansas,5,95-99 years,95-99,Hispanic,,,,,Suppressed,Not Applicable,Not Applicable
,Arkansas,5,100+ years,100+,Hispanic,Male,M,1999,1999,Suppressed,Not Applicable,Not Applicable
,Arkansas,5,100+ years,100+,Hispanic,Male,M,2000,2000,Suppressed,Not Applicable,Not Applicable
,Arkansas,5,100+ years,100+,Hispanic,Male,M,2001,2001,Suppressed,Not Applicable,Not Applicable
,Arkansas,5,100+ years,100+,Hispanic,Male,M,2002,2002,Suppressed,Not Applicable,Not Applicable
,Arkansas,5,100+ years,100+,Hispanic,Male,M,2003,2003,Suppressed,Not Applicable,Not Applicable
,Arkansas,5,100+ years,100+,Hispanic,Male,M,2004,2004,Suppressed,Not Applicable,Not Applicable
,Arkansas,5,100+ years,100+,Hispanic,Male,M,2005,2005,Suppressed,Not Applicable,Not Applicable
,Arkansas,5,100+ years,100+,Hispanic,Male,M,2006,2006,Suppressed,Not Applicable,Not Applicable
,Arkansas,5,100+ years,100+,Hispanic,Male,M,2007,2007,Suppressed,Not Applicable,Not Applicable
,Arkansas,5,100+ years,100+,Hispanic,Male,M,2008,2008,Suppressed,Not Applicable,Not Applicable
,Arkansas,5,100+ years,100+,Hispanic,Male,M,2009,2009,Suppressed,Not Applicable,Not Applicable
,Arkansas,5,100+ years,100+,Hispanic,Male,M,2010,2010,Suppressed,Not Applicable,Not Applicable
,Arkansas,5,100+ years,100+,Hispanic,Male,M,2011,2011,Suppressed,Not Applicable,Not Applicable
,Arkansas,5,100+ years,100+,Hispanic,Male,M,2012,2012,Suppressed,Not Applicable,Not Applicable
,Arkansas,5,100+ years,100+,Hispanic,Male,M,2013,2013,Suppressed,Not Applicable,Not Applicable
,Arkansas,5,100+ years,100+,Hispanic,Male,M,2014,2014,Suppressed,Not Applicable,Not Applicable
,Arkansas,5,100+ years,100+,Hispanic,Male,M,2015,2015,Suppressed,Not Applicable,Not Applicable
,Arkansas,5,100+ years,100+,Hispanic,Male,M,2016,2016,Suppressed,Not Applicable,Not Applicable
,Arkansas,5,100+ years,100+,Hispanic,Male,M,2017,2017,Suppressed,Not Applicable,Not Applicable
,Arkansas,5,100+ years,100+,Hispanic,Male,M,2018,2018,Suppressed,Not Applicable,Not Applicable
Total,Arkansas,5,100+ years,100+,Hispanic,Male,M,,,Suppressed,Not Applicable,Not Applicable
Total,Arkansas,5,100+ years,100+,Hispanic,,,,,Suppressed,Not Applicable,Not Applicable
Total,Arkansas,5,,,Hispanic,,,,,17,691023,Unreliable
,California,6,30-34 years,30-34,Hispanic,Male,M,1999,1999,Suppressed,528305,Suppressed
,California,6,30-34 years,30-34,Hispanic,Male,M,2000,2000,Suppressed,529296,Suppressed
,California,6,30-34 years,30-34,Hispanic,Male,M,2001,2001,Suppressed,541981,Suppressed
,California,6,30-34 years,30-34,Hispanic,Male,M,2002,2002,Suppressed,549750,Suppressed
,California,6,30-34 years,30-34,Hispanic,Male,M,2003,2003,Suppressed,553869,Suppressed
,California,6,30-34 years,30-34,Hispanic,Male,M,2004,2004,Suppressed,554203,Suppressed
,California,6,30-34 years,30-34,Hispanic,Male,M,2005,2005,Suppressed,549995,Suppressed
,California,6,30-34 years,30-34,Hispanic,Male,M,2006,2006,Suppressed,547752,Suppressed
,California,6,30-34 years,30-34,Hispanic,Male,M,2007,2007,Suppressed,547857,Suppressed
,California,6,30-34 years,30-34,Hispanic,Male,M,2008,2008,Suppressed,552620,Suppressed
,California,6,30-34 years,30-34,Hispanic,Male,M,2009,2009,Suppressed,559210,Suppressed
,California,6,30-34 years,30-34,Hispanic,Male,M,2010,2010,Suppressed,567516,Suppressed
,California,6,30-34 years,30-34,Hispanic,Male,M,2011,2011,Suppressed,582840,Suppressed
,California,6,30-34 years,30-34,Hispanic,Male,M,2012,2012,Suppressed,589001,Suppressed
,California,6,30-34 years,30-34,Hispanic,Male,M,2013,2013,Suppressed,598775,Suppressed
,California,6,30-34 years,30-34,Hispanic,Male,M,2014,2014,Suppressed,603868,Suppressed
,California,6,30-34 years,30-34,Hispanic,Male,M,2015,2015,Suppressed,604556,Suppressed
,California,6,30-34 years,30-34,Hispanic,Male,M,2016,2016,Suppressed,605346,Suppressed
,California,6,30-34 years,30-34,Hispanic,Male,M,2017,2017,Suppressed,615904,Suppressed
,California,6,30-34 years,30-34,Hispanic,Male,M,2018,2018,Suppressed,618191,Suppressed
Total,California,6,30-34 years,30-34,Hispanic,Male,M,,,Suppressed,11400835,Suppressed
Total,California,6,30-34 years,30-34,Hispanic,,,,,Suppressed,11400835,Suppressed
,California,6,35-39 years,35-39,Hispanic,Male,M,1999,1999,Suppressed,443697,Suppressed
,California,6,35-39 years,35-39,Hispanic,Male,M,2000,2000,Suppressed,455133,Suppressed
,California,6,35-39 years,35-39,Hispanic,Male,M,2001,2001,Suppressed,473985,Suppressed
,California,6,35-39 years,35-39,Hispanic,Male,M,2002,2002,Suppressed,484280,Suppressed
,California,6,35-39 years,35-39,Hispanic,Male,M,2003,2003,Suppressed,497282,Suppressed
,California,6,35-39 years,35-39,Hispanic,Male,M,2004,2004,Suppressed,507493,Suppressed
,California,6,35-39 years,35-39,Hispanic,Male,M,2005,2005,Suppressed,519432,Suppressed
,California,6,35-39 years,35-39,Hispanic,Male,M,2006,2006,Suppressed,526579,Suppressed
,California,6,35-39 years,35-39,Hispanic,Male,M,2007,2007,Suppressed,531587,Suppressed
,California,6,35-39 years,35-39,Hispanic,Male,M,2008,2008,Suppressed,535297,Suppressed
,California,6,35-39 years,35-39,Hispanic,Male,M,2009,2009,Suppressed,537582,Suppressed
,California,6,35-39 years,35-39,Hispanic,Male,M,2010,2010,Suppressed,536895,Suppressed
,California,6,35-39 years,35-39,Hispanic,Male,M,2011,2011,Suppressed,541816,Suppressed
,California,6,35-39 years,35-39,Hispanic,Male,M,2012,2012,Suppressed,542650,Suppressed
,California,6,35-39 years,35-39,Hispanic,Male,M,2013,2013,Suppressed,545802,Suppressed
,California,6,35-39 years,35-39,Hispanic,Male,M,2014,2014,Suppressed,551424,Suppressed
,California,6,35-39 years,35-39,Hispanic,Male,M,2015,2015,Suppressed,562267,Suppressed
,California,6,35-39 years,35-39,Hispanic,Male,M,2016,2016,Suppressed,565292,Suppressed
,California,6,35-39 years,35-39,Hispanic,Male,M,2017,2017,Suppressed,576703,Suppressed
,California,6,35-39 years,35-39,Hispanic,Male,M,2018,2018,Suppressed,581641,Suppressed
Total,California,6,35-39 years,35-39,Hispanic,Male,M,,,Suppressed,10516837,Suppressed
Total,California,6,35-39 years,35-39,Hispanic,,,,,Suppressed,10516837,Suppressed
,California,6,40-44 years,40-44,Hispanic,Male,M,1999,1999,Suppressed,347122,Suppressed
,California,6,40-44 years,40-44,Hispanic,Male,M,2000,2000,Suppressed,359257,Suppressed
