Notes,State,State Code,Five-Year Age Groups,Five-Year Age Groups Code,Ethnicity,Gender,Gender Code,Year,Year Code,Deaths,Population,Crude Rate
,Alabama,1,50-54 years,50-54,Black,Female,F,2015,2015,Suppressed,47004,Suppressed
,Alabama,1,50-54 years,50-54,Black,Female,F,2016,2016,Suppressed,46018,Suppressed
,Alabama,1,50-54 years,50-54,Black,Female,F,2017,2017,Suppressed,44873,Suppressed
,Alabama,1,50-54 years,50-54,Black,Female,F,2018,2018,Suppressed,43618,Suppressed
,Alabama,1,55-59 years,55-59,Black,Female,F,1999,1999,Suppressed,22537,Suppressed
,Alabama,1,55-59 years,55-59,Black,Female,F,2000,2000,Suppressed,22888,Suppressed
,Alabama,1,55-59 years,55-59,Black,Female,F,2001,2001,Suppressed,23790,Suppressed
,Alabama,1,55-59 years,55-59,Black,Female,F,2002,2002,Suppressed,25408,Suppressed
,Alabama,1,55-59 years,55-59,Black,Female,F,2003,2003,Suppressed,27128,Suppressed
,Alabama,1,55-59 years,55-59,Black,Female,F,2004,2004,Suppressed,29573,Suppressed
,Alabama,1,55-59 years,55-59,Black,Female,F,2005,2005,Suppressed,32467,Suppressed
,Alabama,1,55-59 years,55-59,Black,Female,F,2006,2006,Suppressed,35185,Suppressed
,Alabama,1,55-59 years,55-59,Black,Female,F,2007,2007,Suppressed,37310,Suppressed
,Alabama,1,55-59 years,55-59,Black,Female,F,2008,2008,Suppressed,39253,Suppressed
,Alabama,1,55-59 years,55-59,Black,Female,F,2009,2009,Suppressed,40729,Suppressed
,Alabama,1,55-59 years,55-59,Black,Female,F,2010,2010,Suppressed,41673,Suppressed
,Alabama,1,55-59 years,55-59,Black,Female,F,2011,2011,Suppressed,43479,Suppressed
,Alabama,1,55-59 years,55-59,Black,Female,F,2012,2012,Suppressed,44957,Suppressed
,Alabama,1,55-59 years,55-59,Black,Female,F,2013,2013,Suppressed,45862,Suppressed
,Alabama,1,55-59 years,55-59,Black,Female,F,2014,2014,Suppressed,46618,Suppressed
,Alabama,1,55-59 years,55-59,Black,Female,F,2015,2015,Suppressed,47187,Suppressed
,Alabama,1,55-59 years,55-59,Black,Female,F,2016,2016,Suppressed,47176,Suppressed
,Alabama,1,55-59 years,55-59,Black,Female,F,2017,2017,Suppressed,47086,Suppressed
,Alabama,1,55-59 years,55-59,Black,Female,F,2018,2018,Suppressed,46996,Suppressed
,Alabama,1,60-64 years ,60-64,Black,Female,F,1999,1999,Suppressed,20120,Suppressed
,Alabama,1,60-64 years ,60-64,Black,Female,F,2000,2000,Suppressed,20157,Suppressed
,Alabama,1,60-64 years ,60-64,Black,Female,F,2001,2001,Suppressed,20405,Suppressed
,Alabama,1,60-64 years ,60-64,Black,Female,F,2002,2002,Suppressed,20636,Suppressed
,Alabama,1,60-64 years ,60-64,Black,Female,F,2003,2003,Suppressed,21083,Suppressed
,Alabama,1,60-64 years ,60-64,Black,Female,F,2004,2004,Suppressed,21988,Suppressed
,Alabama,1,60-64 years ,60-64,Black,Female,F,2005,2005,Suppressed,22390,Suppressed
,Alabama,1,60-64 years ,60-64,Black,Female,F,2006,2006,Suppressed,23358,Suppressed
,Alabama,1,60-64 years ,60-64,Black,Female,F,2007,2007,Suppressed,25102,Suppressed
,Alabama,1,60-64 years ,60-64,Black,Female,F,2008,2008,Suppressed,26885,Suppressed
,Alabama,1,60-64 years ,60-64,Black,Female,F,2009,2009,Suppressed,29150,Suppressed
,Alabama,1,60-64 years ,60-64,Black,Female,F,2010,2010,Suppressed,31322,Suppressed
,Alabama,1,60-64 years ,60-64,Black,Female,F,2011,2011,Suppressed,34247,Suppressed
,Alabama,1,60-64 years ,60-64,Black,Female,F,2012,2012,Suppressed,35700,Suppressed
,Alabama,1,60-64 years ,60-64,Black,Female,F,2013,2013,Suppressed,37444,Suppressed
,Alabama,1,60-64 years ,60-64,Black,Female,F,2014,2014,Suppressed,38895,Suppressed
,Alabama,1,60-64 years ,60-64,Black,Female,F,2015,2015,Suppressed,40422,Suppressed
,Alabama,1,60-64 years ,60-64,Black,Female,F,2016,2016,Suppressed,41679,Suppressed
,Alabama,1,60-64 years ,60-64,Black,Female,F,2017,2017,Suppressed,43151,Suppressed
,Alabama,1,60-64 years ,60-64,Black,Female,F,2018,2018,Suppressed,44084,Suppressed
,Alabama,1,65-69 years,65-69,Black,Female,F,1999,1999,Suppressed,18642,Suppressed
,Alabama,1,65-69 years,65-69,Black,Female,F,2000,2000,Suppressed,18384,Suppressed
,Alabama,1,65-69 years,65-69,Black,Female,F,2001,2001,Suppressed,18584,Suppressed
,Alabama,1,65-69 years,65-69,Black,Female,F,2002,2002,Suppressed,18626,Suppressed
,Alabama,1,65-69 years,65-69,Black,Female,F,2003,2003,Suppressed,18777,Suppressed
,Alabama,1,65-69 years,65-69,Black,Female,F,2004,2004,Suppressed,18764,Suppressed
,Alabama,1,65-69 years,65-69,Black,Female,F,2005,2005,Suppressed,19093,Suppressed
,Alabama,1,65-69 years,65-69,Black,Female,F,2006,2006,Suppressed,19398,Suppressed
,Alabama,1,65-69 years,65-69,Black,Female,F,2007,2007,Suppressed,19676,Suppressed
,Alabama,1,65-69 years,65-69,Black,Female,F,2008,2008,Suppressed,20296,Suppressed
,Alabama,1,65-69 years,65-69,Black,Female,F,2009,2009,Suppressed,21055,Suppressed
,Alabama,1,65-69 years,65-69,Black,Female,F,2010,2010,Suppressed,21369,Suppressed
,Alabama,1,65-69 years,65-69,Black,Female,F,2011,2011,Suppressed,22187,Suppressed
,Alabama,1,65-69 years,65-69,Black,Female,F,2012,2012,Suppressed,23920,Suppressed
,Alabama,1,65-69 years,65-69,Black,Female,F,2013,2013,Suppressed,25449,Suppressed
,Alabama,1,65-69 years,65-69,Black,Female,F,2014,2014,Suppressed,27711,Suppressed
,Alabama,1,65-69 years,65-69,Black,Female,F,2015,2015,Suppressed,29952,Suppressed
,Alabama,1,65-69 years,65-69,Black,Female,F,2016,2016,Suppressed,32250,Suppressed
,Alabama,1,65-69 years,65-69,Black,Female,F,2017,2017,Suppressed,33585,Suppressed
,Alabama,1,65-69 years,65-69,Black,Female,F,2018,2018,Suppressed,35177,Suppressed
,Alabama,1,70-74 years,70-74,Black,Female,F,1999,1999,Suppressed,16835,Suppressed
,Alabama,1,70-74 years,70-74,Black,Female,F,2000,2000,Suppressed,16984,Suppressed
,Alabama,1,70-74 years,70-74,Black,Female,F,2001,2001,Suppressed,16795,Suppressed
,Alabama,1,70-74 years,70-74,Black,Female,F,2002,2002,Suppressed,16600,Suppressed
,Alabama,1,70-74 years,70-74,Black,Female,F,2003,2003,Suppressed,16380,Suppressed
,Alabama,1,70-74 years,70-74,Black,Female,F,2004,2004,Suppressed,16303,Suppressed
,Alabama,1,70-74 years,70-74,Black,Female,F,2005,2005,13,16172,Unreliable
,Alabama,1,70-74 years,70-74,Black,Female,F,2006,2006,Suppressed,16514,Suppressed
,Alabama,1,70-74 years,70-74,Black,Female,F,2007,2007,Suppressed,16673,Suppressed
,Alabama,1,70-74 years,70-74,Black,Female,F,2008,2008,Suppressed,16957,Suppressed
,Alabama,1,70-74 years,70-74,Black,Female,F,2009,2009,Suppressed,16745,Suppressed
