Notes,State,State Code,Five-Year Age Groups,Five-Year Age Groups Code,Gender,Gender Code,Year,Year Code,Deaths,Population,Crude Rate
,Alabama,1,90-94 years,90-94,Female,F,2003,2003,158,Not Applicable,Not Applicable
,Alabama,1,90-94 years,90-94,Female,F,2004,2004,187,Not Applicable,Not Applicable
,Alabama,1,90-94 years,90-94,Female,F,2005,2005,198,Not Applicable,Not Applicable
,Alabama,1,90-94 years,90-94,Female,F,2006,2006,216,Not Applicable,Not Applicable
,Alabama,1,90-94 years,90-94,Female,F,2007,2007,199,Not Applicable,Not Applicable
,Alabama,1,90-94 years,90-94,Female,F,2008,2008,206,Not Applicable,Not Applicable
,Alabama,1,90-94 years,90-94,Female,F,2009,2009,207,Not Applicable,Not Applicable
,Alabama,1,90-94 years,90-94,Female,F,2010,2010,217,Not Applicable,Not Applicable
,Alabama,1,90-94 years,90-94,Female,F,2011,2011,178,Not Applicable,Not Applicable
,Alabama,1,90-94 years,90-94,Female,F,2012,2012,187,Not Applicable,Not Applicable
,Alabama,1,90-94 years,90-94,Female,F,2013,2013,214,Not Applicable,Not Applicable
,Alabama,1,90-94 years,90-94,Female,F,2014,2014,278,Not Applicable,Not Applicable
,Alabama,1,90-94 years,90-94,Female,F,2015,2015,331,Not Applicable,Not Applicable
,Alabama,1,90-94 years,90-94,Female,F,2016,2016,358,Not Applicable,Not Applicable
,Alabama,1,90-94 years,90-94,Female,F,2017,2017,380,Not Applicable,Not Applicable
,Alabama,1,90-94 years,90-94,Female,F,2018,2018,377,Not Applicable,Not Applicable
,Alabama,1,95-99 years,95-99,Female,F,1999,1999,32,Not Applicable,Not Applicable
,Alabama,1,95-99 years,95-99,Female,F,2000,2000,27,Not Applicable,Not Applicable
,Alabama,1,95-99 years,95-99,Female,F,2001,2001,42,Not Applicable,Not Applicable
,Alabama,1,95-99 years,95-99,Female,F,2002,2002,47,Not Applicable,Not Applicable
,Alabama,1,95-99 years,95-99,Female,F,2003,2003,61,Not Applicable,Not Applicable
,Alabama,1,95-99 years,95-99,Female,F,2004,2004,64,Not Applicable,Not Applicable
,Alabama,1,95-99 years,95-99,Female,F,2005,2005,85,Not Applicable,Not Applicable
,Alabama,1,95-99 years,95-99,Female,F,2006,2006,74,Not Applicable,Not Applicable
,Alabama,1,95-99 years,95-99,Female,F,2007,2007,80,Not Applicable,Not Applicable
,Alabama,1,95-99 years,95-99,Female,F,2008,2008,82,Not Applicable,Not Applicable
,Alabama,1,95-99 years,95-99,Female,F,2009,2009,85,Not Applicable,Not Applicable
,Alabama,1,95-99 years,95-99,Female,F,2010,2010,79,Not Applicable,Not Applicable
,Alabama,1,95-99 years,95-99,Female,F,2011,2011,91,Not Applicable,Not Applicable
,Alabama,1,95-99 years,95-99,Female,F,2012,2012,85,Not Applicable,Not Applicable
,Alabama,1,95-99 years,95-99,Female,F,2013,2013,86,Not Applicable,Not Applicable
,Alabama,1,95-99 years,95-99,Female,F,2014,2014,84,Not Applicable,Not Applicable
,Alabama,1,95-99 years,95-99,Female,F,2015,2015,130,Not Applicable,Not Applicable
,Alabama,1,95-99 years,95-99,Female,F,2016,2016,168,Not Applicable,Not Applicable
,Alabama,1,95-99 years,95-99,Female,F,2017,2017,166,Not Applicable,Not Applicable
,Alabama,1,95-99 years,95-99,Female,F,2018,2018,179,Not Applicable,Not Applicable
,Alabama,1,100+ years,100+,Female,F,1999,1999,Suppressed,Not Applicable,Not Applicable
,Alabama,1,100+ years,100+,Female,F,2000,2000,11,Not Applicable,Not Applicable
,Alabama,1,100+ years,100+,Female,F,2001,2001,Suppressed,Not Applicable,Not Applicable
,Alabama,1,100+ years,100+,Female,F,2002,2002,Suppressed,Not Applicable,Not Applicable
,Alabama,1,100+ years,100+,Female,F,2003,2003,Suppressed,Not Applicable,Not Applicable
