Notes,State,State Code,Five-Year Age Groups,Five-Year Age Groups Code,Ethnicity,Gender,Gender Code,Year,Year Code,Deaths,Population,Crude Rate
,Alabama,1,55-59 years,55-59,Asian or PI,Female,F,2010,2010,Suppressed,1771,Suppressed
,Alabama,1,55-59 years,55-59,Asian or PI,Female,F,2011,2011,Suppressed,1865,Suppressed
,Alabama,1,55-59 years,55-59,Asian or PI,Female,F,2012,2012,Suppressed,1838,Suppressed
,Alabama,1,55-59 years,55-59,Asian or PI,Female,F,2013,2013,Suppressed,1974,Suppressed
,Alabama,1,55-59 years,55-59,Asian or PI,Female,F,2014,2014,Suppressed,2031,Suppressed
,Alabama,1,55-59 years,55-59,Asian or PI,Female,F,2015,2015,Suppressed,2097,Suppressed
,Alabama,1,55-59 years,55-59,Asian or PI,Female,F,2016,2016,Suppressed,2130,Suppressed
,Alabama,1,55-59 years,55-59,Asian or PI,Female,F,2017,2017,Suppressed,2254,Suppressed
,Alabama,1,55-59 years,55-59,Asian or PI,Female,F,2018,2018,Suppressed,2323,Suppressed
,Alabama,1,60-64 years ,60-64,Asian or PI,Female,F,1999,1999,Suppressed,478,Suppressed
,Alabama,1,60-64 years ,60-64,Asian or PI,Female,F,2000,2000,Suppressed,514,Suppressed
,Alabama,1,60-64 years ,60-64,Asian or PI,Female,F,2001,2001,Suppressed,589,Suppressed
,Alabama,1,60-64 years ,60-64,Asian or PI,Female,F,2002,2002,Suppressed,637,Suppressed
,Alabama,1,60-64 years ,60-64,Asian or PI,Female,F,2003,2003,Suppressed,672,Suppressed
,Alabama,1,60-64 years ,60-64,Asian or PI,Female,F,2004,2004,Suppressed,748,Suppressed
,Alabama,1,60-64 years ,60-64,Asian or PI,Female,F,2005,2005,Suppressed,828,Suppressed
,Alabama,1,60-64 years ,60-64,Asian or PI,Female,F,2006,2006,Suppressed,905,Suppressed
,Alabama,1,60-64 years ,60-64,Asian or PI,Female,F,2007,2007,Suppressed,1033,Suppressed
,Alabama,1,60-64 years ,60-64,Asian or PI,Female,F,2008,2008,Suppressed,1167,Suppressed
,Alabama,1,60-64 years ,60-64,Asian or PI,Female,F,2009,2009,Suppressed,1287,Suppressed
,Alabama,1,60-64 years ,60-64,Asian or PI,Female,F,2010,2010,Suppressed,1369,Suppressed
,Alabama,1,60-64 years ,60-64,Asian or PI,Female,F,2011,2011,Suppressed,1519,Suppressed
,Alabama,1,60-64 years ,60-64,Asian or PI,Female,F,2012,2012,Suppressed,1640,Suppressed
,Alabama,1,60-64 years ,60-64,Asian or PI,Female,F,2013,2013,Suppressed,1682,Suppressed
,Alabama,1,60-64 years ,60-64,Asian or PI,Female,F,2014,2014,Suppressed,1739,Suppressed
,Alabama,1,60-64 years ,60-64,Asian or PI,Female,F,2015,2015,Suppressed,1862,Suppressed
,Alabama,1,60-64 years ,60-64,Asian or PI,Female,F,2016,2016,Suppressed,1857,Suppressed
,Alabama,1,60-64 years ,60-64,Asian or PI,Female,F,2017,2017,Suppressed,1946,Suppressed
,Alabama,1,60-64 years ,60-64,Asian or PI,Female,F,2018,2018,Suppressed,2042,Suppressed
,Alabama,1,65-69 years,65-69,Asian or PI,Female,F,1999,1999,Suppressed,348,Suppressed
,Alabama,1,65-69 years,65-69,Asian or PI,Female,F,2000,2000,Suppressed,446,Suppressed
,Alabama,1,65-69 years,65-69,Asian or PI,Female,F,2001,2001,Suppressed,467,Suppressed
,Alabama,1,65-69 years,65-69,Asian or PI,Female,F,2002,2002,Suppressed,486,Suppressed
,Alabama,1,65-69 years,65-69,Asian or PI,Female,F,2003,2003,Suppressed,528,Suppressed
,Alabama,1,65-69 years,65-69,Asian or PI,Female,F,2004,2004,Suppressed,517,Suppressed
,Alabama,1,65-69 years,65-69,Asian or PI,Female,F,2005,2005,Suppressed,561,Suppressed
,Alabama,1,65-69 years,65-69,Asian or PI,Female,F,2006,2006,Suppressed,623,Suppressed
,Alabama,1,65-69 years,65-69,Asian or PI,Female,F,2007,2007,Suppressed,659,Suppressed
,Alabama,1,65-69 years,65-69,Asian or PI,Female,F,2008,2008,Suppressed,716,Suppressed
,Alabama,1,65-69 years,65-69,Asian or PI,Female,F,2009,2009,Suppressed,789,Suppressed
,Alabama,1,65-69 years,65-69,Asian or PI,Female,F,2010,2010,Suppressed,834,Suppressed
,Alabama,1,65-69 years,65-69,Asian or PI,Female,F,2011,2011,Suppressed,950,Suppressed
,Alabama,1,65-69 years,65-69,Asian or PI,Female,F,2012,2012,Suppressed,1049,Suppressed
,Alabama,1,65-69 years,65-69,Asian or PI,Female,F,2013,2013,Suppressed,1176,Suppressed
,Alabama,1,65-69 years,65-69,Asian or PI,Female,F,2014,2014,Suppressed,1302,Suppressed
,Alabama,1,65-69 years,65-69,Asian or PI,Female,F,2015,2015,Suppressed,1410,Suppressed
,Alabama,1,65-69 years,65-69,Asian or PI,Female,F,2016,2016,Suppressed,1555,Suppressed
,Alabama,1,65-69 years,65-69,Asian or PI,Female,F,2017,2017,Suppressed,1642,Suppressed
,Alabama,1,65-69 years,65-69,Asian or PI,Female,F,2018,2018,Suppressed,1739,Suppressed
,Alabama,1,70-74 years,70-74,Asian or PI,Female,F,1999,1999,Suppressed,232,Suppressed
,Alabama,1,70-74 years,70-74,Asian or PI,Female,F,2000,2000,Suppressed,286,Suppressed
,Alabama,1,70-74 years,70-74,Asian or PI,Female,F,2001,2001,Suppressed,334,Suppressed
,Alabama,1,70-74 years,70-74,Asian or PI,Female,F,2002,2002,Suppressed,365,Suppressed
,Alabama,1,70-74 years,70-74,Asian or PI,Female,F,2003,2003,Suppressed,378,Suppressed
,Alabama,1,70-74 years,70-74,Asian or PI,Female,F,2004,2004,Suppressed,412,Suppressed
,Alabama,1,70-74 years,70-74,Asian or PI,Female,F,2005,2005,Suppressed,464,Suppressed
,Alabama,1,70-74 years,70-74,Asian or PI,Female,F,2006,2006,Suppressed,465,Suppressed
,Alabama,1,70-74 years,70-74,Asian or PI,Female,F,2007,2007,Suppressed,485,Suppressed
,Alabama,1,70-74 years,70-74,Asian or PI,Female,F,2008,2008,Suppressed,528,Suppressed
,Alabama,1,70-74 years,70-74,Asian or PI,Female,F,2009,2009,Suppressed,520,Suppressed
,Alabama,1,70-74 years,70-74,Asian or PI,Female,F,2010,2010,Suppressed,548,Suppressed
,Alabama,1,70-74 years,70-74,Asian or PI,Female,F,2011,2011,Suppressed,609,Suppressed
,Alabama,1,70-74 years,70-74,Asian or PI,Female,F,2012,2012,Suppressed,678,Suppressed
,Alabama,1,70-74 years,70-74,Asian or PI,Female,F,2013,2013,Suppressed,729,Suppressed
,Alabama,1,70-74 years,70-74,Asian or PI,Female,F,2014,2014,Suppressed,827,Suppressed
,Alabama,1,70-74 years,70-74,Asian or PI,Female,F,2015,2015,Suppressed,895,Suppressed
,Alabama,1,70-74 years,70-74,Asian or PI,Female,F,2016,2016,Suppressed,1009,Suppressed
,Alabama,1,70-74 years,70-74,Asian or PI,Female,F,2017,2017,Suppressed,1084,Suppressed
,Alabama,1,70-74 years,70-74,Asian or PI,Female,F,2018,2018,Suppressed,1236,Suppressed
,Alabama,1,75-79 years,75-79,Asian or PI,Female,F,1999,1999,Suppressed,95,Suppressed
,Alabama,1,75-79 years,75-79,Asian or PI,Female,F,2000,2000,Suppressed,140,Suppressed
,Alabama,1,75-79 years,75-79,Asian or PI,Female,F,2001,2001,Suppressed,161,Suppressed
,Alabama,1,75-79 years,75-79,Asian or PI,Female,F,2002,2002,Suppressed,188,Suppressed
,Alabama,1,75-79 years,75-79,Asian or PI,Female,F,2003,2003,Suppressed,223,Suppressed
,Alabama,1,75-79 years,75-79,Asian or PI,Female,F,2004,2004,Suppressed,250,Suppressed
,Alabama,1,75-79 years,75-79,Asian or PI,Female,F,2005,2005,Suppressed,273,Suppressed
,Alabama,1,75-79 years,75-79,Asian or PI,Female,F,2006,2006,Suppressed,296,Suppressed
,Alabama,1,75-79 years,75-79,Asian or PI,Female,F,2007,2007,Suppressed,338,Suppressed
,Alabama,1,75-79 years,75-79,Asian or PI,Female,F,2008,2008,Suppressed,342,Suppressed
,Alabama,1,75-79 years,75-79,Asian or PI,Female,F,2009,2009,Suppressed,383,Suppressed
,Alabama,1,75-79 years,75-79,Asian or PI,Female,F,2010,2010,Suppressed,418,Suppressed
,Alabama,1,75-79 years,75-79,Asian or PI,Female,F,2011,2011,Suppressed,423,Suppressed
,Alabama,1,75-79 years,75-79,Asian or PI,Female,F,2012,2012,Suppressed,474,Suppressed
,Alabama,1,75-79 years,75-79,Asian or PI,Female,F,2013,2013,Suppressed,530,Suppressed
,Alabama,1,75-79 years,75-79,Asian or PI,Female,F,2014,2014,Suppressed,545,Suppressed
,Alabama,1,75-79 years,75-79,Asian or PI,Female,F,2015,2015,Suppressed,607,Suppressed
,Alabama,1,75-79 years,75-79,Asian or PI,Female,F,2016,2016,Suppressed,571,Suppressed
,Alabama,1,75-79 years,75-79,Asian or PI,Female,F,2017,2017,Suppressed,609,Suppressed
,Alabama,1,75-79 years,75-79,Asian or PI,Female,F,2018,2018,Suppressed,663,Suppressed
,Alabama,1,80-84 years,80-84,Asian or PI,Female,F,1999,1999,Suppressed,39,Suppressed
,Alabama,1,80-84 years,80-84,Asian or PI,Female,F,2000,2000,Suppressed,54,Suppressed
,Alabama,1,80-84 years,80-84,Asian or PI,Female,F,2001,2001,Suppressed,82,Suppressed
,Alabama,1,80-84 years,80-84,Asian or PI,Female,F,2002,2002,Suppressed,81,Suppressed
,Alabama,1,80-84 years,80-84,Asian or PI,Female,F,2003,2003,Suppressed,89,Suppressed
,Alabama,1,80-84 years,80-84,Asian or PI,Female,F,2004,2004,Suppressed,113,Suppressed
,Alabama,1,80-84 years,80-84,Asian or PI,Female,F,2005,2005,Suppressed,125,Suppressed
,Alabama,1,80-84 years,80-84,Asian or PI,Female,F,2006,2006,Suppressed,148,Suppressed
,Alabama,1,80-84 years,80-84,Asian or PI,Female,F,2007,2007,Suppressed,154,Suppressed
,Alabama,1,80-84 years,80-84,Asian or PI,Female,F,2008,2008,Suppressed,181,Suppressed
,Alabama,1,80-84 years,80-84,Asian or PI,Female,F,2009,2009,Suppressed,204,Suppressed
,Alabama,1,80-84 years,80-84,Asian or PI,Female,F,2010,2010,Suppressed,220,Suppressed
,Alabama,1,80-84 years,80-84,Asian or PI,Female,F,2011,2011,Suppressed,271,Suppressed
,Alabama,1,80-84 years,80-84,Asian or PI,Female,F,2012,2012,Suppressed,301,Suppressed
,Alabama,1,80-84 years,80-84,Asian or PI,Female,F,2013,2013,Suppressed,336,Suppressed
,Alabama,1,80-84 years,80-84,Asian or PI,Female,F,2014,2014,Suppressed,362,Suppressed
,Alabama,1,80-84 years,80-84,Asian or PI,Female,F,2015,2015,Suppressed,367,Suppressed
,Alabama,1,80-84 years,80-84,Asian or PI,Female,F,2016,2016,Suppressed,404,Suppressed
,Alabama,1,80-84 years,80-84,Asian or PI,Female,F,2017,2017,Suppressed,408,Suppressed
,Alabama,1,80-84 years,80-84,Asian or PI,Female,F,2018,2018,Suppressed,418,Suppressed
,Alabama,1,85-89 years,85-89,Asian or PI,Female,F,1999,1999,Suppressed,Not Applicable,Not Applicable
,Alabama,1,85-89 years,85-89,Asian or PI,Female,F,2000,2000,Suppressed,Not Applicable,Not Applicable
